Country,Population2000,Population2019,PopulationGrowth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Italy,56.9,60.3,0.3,56900000,57070700,57241912,57413638,57585879,57758636,57931912,58105708,58280025,58454865,58630230,58806121,58982539,59159486,59336965,59514976
Jamaica,2.7,2.9,0.6,2700000,2716200,2732497,2748892,2765386,2781978,2798670,2815462,2832355,2849349,2866445,2883643,2900945,2918351,2935861,2953476
Japan,126.8,126.3,0,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000,126800000
Jordan,5.1,10.1,3.6,5100000,5283600,5473810,5670867,5875018,6086519,6305633,6532636,6767811,7011452,7263864,7525364,7796277,8076943,8367713,8668950
Kazakhstan,14.9,18.5,1.1,14900000,15063900,15229603,15397129,15566497,15737728,15910843,16085863,16262807,16441698,16622557,16805405,16990264,17177157,17366106,17557133
Kenya,32,52.6,2.6,32000000,32832000,33685632,34561458,35460056,36382018,37327950,38298477,39294237,40315888,41364101,42439567,43542996,44675114,45836667,47028420
Kiribati,0.1,0.1,1.7,100000,101700,103429,105187,106975,108794,110643,112524,114437,116383,118361,120373,122420,124501,126617,128770
"Korea, Dem. People's Rep.",22.9,25.7,0.6,22900000,23037400,23175624,23314678,23454566,23595294,23736865,23879287,24022562,24166698,24311698,24457568,24604313,24751939,24900451,25049854
"Korea, Rep.",47,51.7,0.5,47000000,47235000,47471175,47708531,47947074,48186809,48427743,48669882,48913231,49157797,49403586,49650604,49898857,50148351,50399093,50651089
Kosovo,1.7,1.8,0.3,1700000,1705100,1710215,1715346,1720492,1725653,1730830,1736023,1741231,1746455,1751694,1756949,1762220,1767507,1772809,1778128
Kuwait,2,4.2,3.8,2000000,2076000,2154888,2236774,2321771,2409998,2501578,2596638,2695311,2797732,2904046,3014400,3128947,3247847,3371265,3499373
Kyrgyz Republic,4.9,6.5,1.5,4900000,4973500,5048103,5123824,5200681,5278692,5357872,5438240,5519814,5602611,5686650,5771950,5858529,5946407,6035603,6126137
Lao PDR,5.3,7.2,1.6,5300000,5384800,5470957,5558492,5647428,5737787,5829591,5922865,6017631,6113913,6211735,6311123,6412101,6514695,6618930,6724833
Latvia,2.4,1.9,-1.1,2400000,2373600,2347490,2321668,2296130,2270872,2245893,2221188,2196755,2172590,2148692,2125056,2101681,2078562,2055698,2033085
Lebanon,3.8,6.9,3,3800000,3914000,4031420,4152363,4276933,4405241,4537399,4673521,4813726,4958138,5106882,5260089,5417891,5580428,5747841,5920276
Lesotho,2,2.1,0.2,2000000,2004000,2008008,2012024,2016048,2020080,2024120,2028169,2032225,2036289,2040362,2044443,2048532,2052629,2056734,2060847
Liberia,2.8,4.9,2.9,2800000,2881200,2964755,3050733,3139204,3230241,3323918,3420311,3519500,3621566,3726591,3834663,3945868,4060298,4178047,4299210
Libya,5.4,6.8,1.2,5400000,5464800,5530378,5596742,5663903,5731870,5800652,5870260,5940703,6011992,6084136,6157145,6231031,6305803,6381473,6458051
Liechtenstein,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,3.5,2.8,-1.2,3500000,3458000,3416504,3375506,3335000,3294980,3255440,3216375,3177778,3139645,3101969,3064746,3027969,2991633,2955733,2920265
Luxembourg,0.4,0.6,1.8,400000,407200,414530,421991,429587,437320,445191,453205,461362,469667,478121,486727,495488,504407,513486,522729
Madagascar,15.8,27,2.8,15800000,16242400,16697187,17164708,17645320,18139389,18647292,19169416,19706160,20257932,20825155,21408259,22007690,22623905,23257375,23908581
Malawi,11.1,18.6,2.7,11100000,11399700,11707492,12023594,12348231,12681633,13024038,13375687,13736830,14107725,14488633,14879826,15281581,15694184,16117927,16553111
Malaysia,23.2,31.9,1.7,23200000,23594400,23995505,24403428,24818287,25240198,25669281,26105659,26549455,27000796,27459809,27926626,28401379,28884202,29375233,29874612
Maldives,0.3,0.5,3.4,300000,310200,320747,331652,342928,354588,366644,379110,392000,405328,419109,433358,448093,463328,479081,495370
Mali,10.9,19.7,3.1,10900000,11237900,11586275,11945449,12315758,12697547,13091171,13496997,13915404,14346782,14791532,15250069,15722821,16210229,16712746,17230841
Malta,0.4,0.5,1.3,400000,405200,410468,415804,421209,426685,432232,437851,443543,449309,455150,461067,467061,473132,479283,485514
Marshall Islands,0.1,0.1,0.8,100000,100800,101606,102419,103239,104065,104897,105736,106582,107435,108294,109161,110034,110914,111801,112696
Mauritania,2.6,4.5,2.9,2600000,2675400,2752987,2832823,2914975,2999509,3086495,3176003,3268108,3362883,3460406,3560758,3664020,3770277,3879615,3992124
Mauritius,1.2,1.3,0.3,1200000,1203600,1207211,1210832,1214465,1218108,1221763,1225428,1229104,1232792,1236490,1240199,1243920,1247652,1251395,1255149
Mexico,98.9,127.6,1.3,98900000,100185700,101488114,102807460,104143957,105497828,106869300,108258601,109665962,111091620,112535811,113998777,115480761,116982011,118502777,120043313
"Micronesia, Fed. Sts.",0.1,0.1,0.3,100000,100300,100601,100903,101205,101509,101814,102119,102425,102733,103041,103350,103660,103971,104283,104596
Moldova,2.9,2.7,-0.5,2900000,2885500,2871073,2856717,2842434,2828221,2814080,2800010,2786010,2772080,2758219,2744428,2730706,2717053,2703467,2689950
Monaco,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,2.4,3.2,1.6,2400000,2438400,2477414,2517053,2557326,2598243,2639815,2682052,2724965,2768564,2812861,2857867,2903593,2950050,2997251,3045207
Montenegro,0.6,0.6,0.1,600000,600600,601201,601802,602404,603006,603609,604213,604817,605422,606027,606633,607240,607847,608455,609063
