Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Morocco,38857,39460,42237,52064,59626,62343,68641,79041,92507,92897,93217,101370,98266,106826,110081,101180
Mozambique,5656,5399,5677,6303,7631,8542,9177,10451,12556,11914,11105,14382,16351,16974,17716,15951
Myanmar,8905,6478,6778,10467,10567,11987,14503,20182,31863,36906,49541,59977,59938,60270,65446,67823
Namibia,3834,3476,3276,4812,6480,7102,7840,8730,8496,8825,11268,12344,13042,12011,12356,11272
Nauru,,,,,,,,,,,48,66,97,98,105,87
Nepal,5494,6007,6051,6330,7274,8130,9044,10326,12545,12855,16003,18914,18852,19271,20003,21411
Netherlands,416443,431213,471614,578792,657172,685093,733341,847482,947998,868077,846555,904086,838971,876924,890981,765265
New Caledonia,2682,,,,,,,,,,,,,,,
New Zealand,52623,53872,66628,88251,103905,114720,111609,137320,133290,121358,146619,168510,176248,190846,200922,177468
Nicaragua,5107,5323,5224,5322,5796,6321,6763,7423,8497,8299,8759,9774,10532,10983,11880,12757
Niger,2236,2449,2782,3394,3760,4383,4756,5731,7298,7352,7851,8773,9427,10225,10863,9686
Nigeria,69449,74030,95386,104912,136386,176134,236104,275626,337036,291880,361457,404994,455502,508693,546676,486803
North Macedonia,3773,3710,4018,4946,5683,6259,6861,8336,9910,9402,9407,10495,9745,10818,11362,10065
Northern Mariana Islands,,,1284,1239,1210,1061,990,938,939,795,799,733,751,782,845,931
Norway,171247,173972,195524,228859,264512,308884,345581,400937,462250,386190,428757,498283,509506,522762,498410,385802
Oman,19507,19452,20143,21634,24764,31082,37216,42085,60905,48388,56913,67873,76511,78556,80687,68400
Pakistan,82018,79484,79905,91761,107760,120055,137264,152386,170078,168153,177166,213587,224384,231219,244361,270556
Palau,146,157,163,154,165,190,192,199,198,188,186,197,212,221,242,280
Panama,12304,12502,12994,13694,15013,16374,18142,21296,25156,27117,29440,34686,40430,45600,49922,54092
Papua New Guinea,3521,3081,3000,3536,3927,4866,8355,9545,11671,11620,14251,17985,21296,21261,23211,21724
Paraguay,8856,8496,7196,7691,9624,10738,13429,17856,24578,22342,27216,33716,33283,38585,40277,36164
Peru,51745,52030,54778,58731,66769,76061,88643,102171,120551,120823,147529,171762,192649,201175,200789,189805
Philippines,83670,78921,84307,87039,95002,107420,127653,155980,181007,176132,208369,234217,261921,283903,297484,306446
Poland,172219,190905,199072,217827,255110,306144,344622,429029,533609,439738,479834,528301,498524,521016,542477,477812
Portugal,118311,121499,134156,164862,189035,197180,208582,240191,262345,243702,237881,244797,216237,226370,229596,199314
Puerto Rico,61702,69208,71624,74827,80322,83915,87276,89524,93639,96386,98381,100352,101565,102450,102446,103376
Qatar,17760,17538,19364,23534,31734,44530,60882,79712,115270,97798,125122,167775,186834,198728,206225,161740
